"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"3","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","983.22","0.46","4330","0","4330"
"4","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","983.82","0.48","4463","0","4463"
"2","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","983.2","0.48","4413","0","4413"
"1","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","983.14","0.46","4458","0","4458"
"5","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","981.68","0.46","4452","0","4452"
"6","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","982.91","0.46","4458","0","4458"
"7","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","981.64","0.48","4308","0","4308"
"8","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","982.78","0.49","4520","0","4520"
"9","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","984.38","0.47","4402","0","4402"
"10","5","25","no-visualization","true","true","false","false","400","100","0","0","1000","0","983.01","0.45","4378","0","4378"
"11","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39283.1","983.15","0.46","4506","0","4506"
"12","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39291.5","983.32","0.49","4752","0","4752"
"13","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39285.1","982.06","0.49","4602","0","4602"
"14","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39287.7","982.42","0.46","4492","0","4492"
"15","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39316.5","982.65","0.47","4705","0","4705"
"18","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39295.4","982.94","0.46","4695","0","4695"
"17","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39315.9","983.82","0.47","4781","0","4781"
"19","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39339","980.62","0.48","4630","0","4630"
"16","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39319.5","981.53","0.45","4740","0","4740"
"20","5","25","no-visualization","true","true","false","false","400","100","0","0.1","1000","39302.8","982.75","0.48","4628","0","4628"
"21","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185977","983.67","0.49","5285","0","5285"
"22","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185419","985.59","0.49","5298","0","5298"
"23","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185916","984.34","0.51","5242","0","5242"
"24","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","186506.5","986.35","0.5","5099","0","5099"
"25","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185894","983.53","0.47","5193","0","5193"
"26","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185966.5","985.1","0.51","5330","0","5330"
"27","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185766.5","983.46","0.48","5364","0","5364"
"28","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185331.5","984.48","0.46","5402","0","5402"
"29","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185378","985.51","0.48","5314","0","5314"
"30","5","25","no-visualization","true","true","false","false","400","100","0","0.5","1000","185923.5","984.51","0.49","5255","0","5255"
"31","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","336515","985","0.57","5581","0","5581"
"32","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","337595","985.5","0.56","5750","0","5750"
"33","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","338225","987.53","0.54","5582","0","5582"
"34","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","340231","984.68","0.56","5850","0","5850"
"35","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","339359","986.12","0.55","5667","0","5667"
"36","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","338235","987.06","0.55","5620","0","5620"
"37","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","339375","985.61","0.57","5728","0","5728"
"38","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","337684","986.06","0.55","5762","0","5762"
"40","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","335891","984.76","0.57","5693","0","5693"
"39","5","25","no-visualization","true","true","false","false","400","100","0","1","1000","338476","985.17","0.56","5662","0","5662"
"41","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46240.72","982.86","0.47","4918","0","4918"
"42","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46329.87","984.76","0.46","4679","0","4679"
"43","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46167.4","981.3","0.47","4930","0","4930"
"45","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46241.47","982.88","0.46","4802","0","4802"
"46","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46275.59","983.6","0.45","4972","0","4972"
"44","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46223.8","982.5","0.45","4745","0","4745"
"47","5","25","no-visualization","true","true","false","false","400","100","4.7","0","1000","46225.16","982.53","0.45","4680","0","4680"
